filename,temperature,label
1,23.0,fire
2,23.0,fire
3,24.0,fire
4,25.0,fire
5,25.0,fire
6,25.0,fire
7,25.0,fire
8,26.0,fire
9,26.0,fire
10,26.0,fire
11,26.0,fire
12,26.0,fire
13,26.0,fire
14,27.0,fire
15,27.0,fire
16,27.0,fire
17,27.0,fire
18,27.0,fire
19,27.0,fire
20,27.0,fire
21,27.0,fire
22,27.0,fire
23,27.0,fire
24,27.0,fire
25,27.0,fire
26,27.0,fire
27,27.0,fire
28,27.0,fire
29,27.0,fire
30,27.0,fire
31,57.0,fire
32,57.0,fire
33,58.0,fire
34,58.0,fire
35,58.0,fire
36,59.0,fire
37,59.0,fire
38,60.0,fire
39,60.0,fire
40,61.0,fire
41,62.0,fire
42,62.0,fire
43,63.0,fire
44,64.0,fire
45,64.0,fire
46,65.0,fire
47,65.0,fire
48,66.0,fire
49,66.0,fire
50,67.0,fire
51,67.0,fire
52,67.0,fire
53,68.0,fire
54,68.0,fire
55,69.0,fire
56,69.0,fire
57,69.0,fire
58,69.0,fire
59,70.0,fire
60,70.0,fire
